MonthStart,Revenue,PrevMonthRevenue,MoM_GrowthPct,RunningTotal
2011-05-01,503805.92,NULL,NULL,503805.92
2011-06-01,458910.82,503805.92,-8.91,962716.74
2011-07-01,2044600.00,458910.82,345.53,3007316.74
2011-08-01,2495816.73,2044600.00,22.07,5503133.47
2011-09-01,502073.85,2495816.73,-79.88,6005207.32
2011-10-01,4588761.82,502073.85,813.96,10593969.14
2011-11-01,737839.82,4588761.82,-83.92,11331808.96
2011-12-01,1309863.25,737839.82,77.53,12641672.21
2012-01-01,3970627.28,1309863.25,203.13,16612299.49
2012-02-01,1475426.91,3970627.28,-62.84,18087726.40
2012-03-01,2975748.24,1475426.91,101.69,21063474.64
2012-04-01,1634600.80,2975748.24,-45.07,22698075.44
2012-05-01,3074602.81,1634600.80,88.10,25772678.25
2012-06-01,4099354.36,3074602.81,33.33,29872032.61
2012-07-01,3417953.87,4099354.36,-16.62,33289986.48
2012-08-01,2175637.22,3417953.87,-36.35,35465623.70
2012-09-01,3454151.94,2175637.22,58.77,38919775.64
2012-10-01,2544091.11,3454151.94,-26.35,41463866.75
2012-11-01,1872701.98,2544091.11,-26.39,43336568.73
2012-12-01,2829404.82,1872701.98,51.09,46165973.55
2013-01-01,2087872.46,2829404.82,-26.21,48253846.01
2013-02-01,2316922.15,2087872.46,10.97,50570768.16
2013-03-01,3412068.97,2316922.15,47.27,53982837.13
2013-04-01,2532265.91,3412068.97,-25.79,56515103.04
2013-05-01,3245623.75,2532265.91,28.17,59760726.79
2013-06-01,5081069.13,3245623.75,56.55,64841795.92
2013-07-01,4896353.74,5081069.13,-3.64,69738149.66
2013-08-01,3333964.07,4896353.74,-31.91,73072113.73
2013-09-01,4532908.71,3333964.07,35.96,77605022.44
2013-10-01,4795813.29,4532908.71,5.80,82400835.73
2013-11-01,3312130.25,4795813.29,-30.94,85712965.98
2013-12-01,4075486.63,3312130.25,23.05,89788452.61
2014-01-01,4289817.95,4075486.63,5.26,94078270.56
2014-02-01,1337725.04,4289817.95,-68.82,95415995.60
2014-03-01,7217531.09,1337725.04,439.54,102633526.69
2014-04-01,1797173.92,7217531.09,-75.10,104430700.61
2014-05-01,5366674.97,1797173.92,198.62,109797375.58
2014-06-01,49005.84,5366674.97,-99.09,109846381.42
