CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Cell,CustomerSegment
29818,4388,12,989184.082,2,1,1,211,Needs Attention
29715,4357,12,961675.8596,1,1,1,111,Lost
29722,4357,12,954021.9235,1,1,1,111,Lost
30117,4388,12,919801.8188,2,1,1,211,Needs Attention
29614,4418,12,901346.856,2,1,1,211,Needs Attention
29639,4357,12,887090.4106,1,1,1,111,Lost
29701,4357,8,841866.5522,1,1,1,111,Lost
29617,4388,12,834475.9271,2,1,1,211,Needs Attention
29994,4418,12,824331.7682,2,1,1,211,Needs Attention
29646,4418,12,820383.5466,2,1,1,211,Needs Attention
29580,4418,12,815914.2534,2,1,1,211,Needs Attention
29827,4418,12,801766.21,2,1,1,211,Needs Attention
29497,4418,12,789884.2937,2,1,1,211,Needs Attention
29716,4388,12,781073.7175,2,1,1,211,Needs Attention
29913,4388,8,757449.6804,2,1,1,211,Needs Attention
30103,4388,8,725867.1659,2,1,1,211,Needs Attention
29957,4357,8,718258.8109,1,1,1,111,Lost
29523,4388,12,696703.605,2,1,1,211,Needs Attention
29616,4388,8,695242.2258,2,1,1,211,Needs Attention
30048,4418,8,678828.8377,2,1,1,211,Needs Attention
29562,4723,8,665292.381,5,1,1,511,Potential Loyalist
29772,4418,8,660645.9404,2,1,1,211,Needs Attention
29712,4388,8,653973.7646,2,1,1,211,Needs Attention
30107,4388,12,650362.0535,2,1,1,211,Needs Attention
29924,4388,8,644168.1552,2,1,1,211,Needs Attention
30050,4357,8,631355.0743,1,1,1,111,Lost
29641,4418,4,606819.6087,2,1,1,211,Needs Attention
29966,4357,12,605358.542,1,1,1,111,Lost
29997,4388,8,604794.7839,2,1,1,211,Needs Attention
29689,4418,8,600077.2722,2,1,1,211,Needs Attention
29486,4357,12,584949.1308,1,1,1,111,Lost
29522,4388,12,554388.9371,2,1,1,211,Needs Attention
29705,4388,12,543440.5911,2,1,1,211,Needs Attention
30112,4388,8,538333.4655,2,1,1,211,Needs Attention
29546,4357,8,534117.5619,1,1,1,111,Lost
30000,4418,8,533078.2844,2,1,1,211,Needs Attention
30074,4754,8,516254.7953,5,1,1,511,Potential Loyalist
29919,4388,8,514317.5252,2,1,1,211,Needs Attention
29507,4754,8,502367.0397,5,1,1,511,Potential Loyalist
29770,4357,8,500181.7264,1,1,1,111,Lost
